クラバト情報シート,,,,,,,,,,,
クランメンバー一覧,,日数,日付,凸管理の列番号,,番号,ボス名,,周回数,現在のボス,ボス番号
Canon,,1,09/25,B,,a,ゴブリングレート,,61,グラットン,e
SAMURAI,,2,09/26,F,,b,ライライ,,,,
sakadaka,,3,09/27,J,,c,レイスロード,,,,
smicle(スマイル),,4,09/28,N,,d,ダークガーゴイル,,,,
あんこうもち,,5,09/29,R,,e,グラットン,,,,
あゔぁろん,,,,,,,,,,,
いせ,,,,,,,,,,,
いもちゃ,,,,,,,,,,,
うさまる,,,,,,,,,,,
うりころ,,,,,,,,,,,
きむら,,,,,,,,,,,
たかや@基本フルオート希望,,,,,,,,,,,
なもで,,,,,,,,,,,
ひのきのぼう,,,,,,,,,,,
ふみと,,,,,,,,,,,
まざらし,,,,,,,,,,,
まっち,,,,,,,,,,,
まろ,,,,,,,,,,,
みみな(プリンセス),,,,,,,,,,,
むーん,,,,,,,,,,,
やさい,,,,,,,,,,,
りゅーせん,,,,,,,,,,,
れい,,,,,,,,,,,
ショウ,,,,,,,,,,,
ジャハド,,,,,,,,,,,
ゼロ(せらの),,,,,,,,,,,
ハヤテ,,,,,,,,,,,
ユッシー,,,,,,,,,,,
名無し(りえりー),,,,,,,,,,,
水乃宮,,,,,,,,,,,