凸予定シート,,,,,,,
完了,送信者のメッセージid,キャルのメッセージid,メンバー,プレイヤーid,ボス番号,ボス名,メッセージ
1,771463479269654569,771463485304471572,ゼロ(せらの),661558311287652354,b,ライライ,850~950
1,771463549922312204,771463554288189480,ゼロ(せらの),661558311287652354,c,オークチーフ,900~1000
1,771463700883570748,771463703509336075,ゼロ(せらの),661558311287652354,d,オブシダンワイバーン,850~950
1,771463782824280104,771463785529475082,しろはのぱんつ,562247481413468180,b,ライライ,1000
1,771463869373612094,771463873588232212,しろはのぱんつ,562247481413468180,c,オークチーフ,1000or1400
1,771463976701526077,771463980014895104,あお,257537511868465153,c,オークチーフ,1400〜1600
1,771464281312722965,771464284232220702,EnNE4,388955796454506500,b,ライライ,1000
1,771464339961413713,771464342914859039,EnNE4,388955796454506500,c,オークチーフ,1250〜1300
1,771464367299362817,771464370588221450,EnNE4,388955796454506500,e,レサトパルト,700
1,771464438573563986,771464441823756299,あお,257537511868465153,e,レサトパルト,1800(ニャル)or 1000〜1100(物理)
1,771464515875373088,771464519062782032,うさまる,652747597739589632,c,オークチーフ,1300
1,771464623513796668,771464626281775184,うさまる,652747597739589632,e,レサトパルト,1000
1,771464864903462944,771464867982868500,EnNE4,388955796454506500,a,ゴブリングレート,900〜1200
1,771465027885858839,771465031007076353,EnNE4,388955796454506500,d,オブシダンワイバーン,550
1,771465217892417556,771465221402918912,あお,257537511868465153,e,レサトパルト,1800(ニャル)or1000〜1100(物理)
1,771465408275284010,771465410482274325,あお,257537511868465153,a,ゴブリングレート,1400〜(アキノ事故あり)
1,771466494264999946,771466497250951199,厚着下着まざらし,341239349997993984,e,レサトパルト,1600
1,771466687093538867,771466689627947038,厚着下着まざらし,341239349997993984,c,オークチーフ,1100
1,771467012903534622,771467015348551721,うさまる,652747597739589632,e,レサトパルト,1000 ニャル
1,771467670126067713,771467673056837733,厚着下着まざらし,341239349997993984,d,オブシダンワイバーン,750
1,771470194236719155,771470197281783838,名無し(りえりー),257882449185472515,c,オークチーフ,1400
1,771470240675528735,771470242659827733,名無し(りえりー),257882449185472515,d,オブシダンワイバーン,900
1,771470333269901352,771470335698141184,名無し(りえりー),257882449185472515,e,レサトパルト,1000
1,771471255613341717,771471258587627520,あお,257537511868465153,a,ゴブリングレート,900前後 持ち越し
1,771475346615697418,771475350319923221,しろはのぱんつ,562247481413468180,c,オークチーフ,1000or1400
1,771490712528093194,771490715251113994,EnNE4,388955796454506500,b,ライライ,380 持ち越し
1,771494782165319710,771494785188888626,smicle(スマイル),420084355105423367,d,オブシダンワイバーン,700
1,771495842551955464,771495846508232714,smicle(スマイル),420084355105423367,b,ライライ,900 物理
1,771496275102793728,771496278185738240,あお,257537511868465153,d,オブシダンワイバーン,1000〜1100物理
1,771496340856504331,771496344274993183,あお,257537511868465153,e,レサトパルト,1800前後 ニャル(事故要素あり
1,771498083389407273,771498086412320788,smicle(スマイル),420084355105423367,b,ライライ,持ち越し 700
1,771498394203979776,771498397055844363,SAMURAI,458652362832084994,c,オークチーフ,650物理
1,771498624680984597,771498627495362601,SAMURAI,458652362832084994,e,レサトパルト,650〜800 ニャル
1,771504590952726588,771504594831671386,しろはのぱんつ,562247481413468180,c,オークチーフ,持ち越し物理 580
1,771514987982225418,771514990997930026,おのか,658087140642783252,e,レサトパルト,1000〜1200 ニャル
1,771522619547582484,771522622901977088,ジャハド,661543389581279242,e,レサトパルト,持ち越し1.23 6~750
1,771523036251291648,771523039656804362,ジャハド,661543389581279242,a,ゴブリングレート,800物理 離席中
1,771523096741150761,771523099056406549,ジャハド,661543389581279242,b,ライライ,7~800物理
1,771528235309465610,771528238492942396,Canon,385069644052168715,d,オブシダンワイバーン,700
1,771529236779499551,771529239446028308,smicle(スマイル),420084355105423367,d,オブシダンワイバーン,700 魔法
1,771530554070925333,771530557104193596,おのか,658087140642783252,b,ライライ,1300〜1350 物理
1,771541903140192286,771541906441240657,たかや@基本フルオート希望,322226212464230400,d,オブシダンワイバーン,1000物理(2 800可能)
1,771542017234173962,771542020380164106,たかや@基本フルオート希望,322226212464230400,e,レサトパルト,900セミオートニャル(2_850可)
1,771546438043172904,771546440542584833,しろはのぱんつ,562247481413468180,c,オークチーフ,物理 1300~1400
1,771549235900186664,771549238579560498,たかや@基本フルオート希望,322226212464230400,b,ライライ,持ち越し370
1,771551274528800830,771551277939294218,りん,703857608053882972,c,オークチーフ,持ち越し 450-600
1,771551451536293978,771551454342283275,りん,703857608053882972,d,オブシダンワイバーン,1000万
1,771555325437935626,771555327602065458,まろ,436517654535340032,b,ライライ,持ち越し300 (3、300。5、200も可)ちょうど良さそうな時に吐きます
1,771559910823297064,771559912719253544,たかや@基本フルオート希望,322226212464230400,a,ゴブリングレート,持ち越し400前後
1,771574789591793705,771574791999324162,ジャハド,661543389581279242,a,ゴブリングレート,280持ち越し
1,771576250493698069,771576253119201310,おのか,658087140642783252,c,オークチーフ,1600
1,771576380282503169,771576382631182406,おのか,658087140642783252,b,ライライ,1100
1,771576466747031563,771576468714422283,おのか,658087140642783252,b,ライライ,1100 物理
1,771576494828027975,771576496577445888,おのか,658087140642783252,c,オークチーフ,1600 物理
1,771577900583354398,771577904764944394,sakadaka,538639387471249409,b,ライライ,1000 持ち越し
1,771578030513717262,771578033306861588,まろ,436517654535340032,d,オブシダンワイバーン,1000物理 (5 1000も可)
1,771578101141602327,771578104166481941,まろ,436517654535340032,e,レサトパルト,ニャル 1000↑
1,771591069439098891,771591074266742804,みお,283219480601952258,c,オークチーフ,物理550餅(16時以降消化可)
1,771606716969779201,771606720048136193,たかや@基本フルオート希望,322226212464230400,e,レサトパルト,持ち越し 520 魔法
1,771607342827569183,771607346547523594,りん,703857608053882972,a,ゴブリングレート,持ち越し400-450
1,771608682596794388,771608685599916042,ぴかち,500590872048697344,d,オブシダンワイバーン,物理200持ち越し + 物理1000
1,771619403980472351,771619406677409813,りん,703857608053882972,e,レサトパルト,1000万
1,771620282322518037,771620285497081877,Canon,385069644052168715,c,オークチーフ,1000
1,771622410805444608,771622413926137886,りん,703857608053882972,d,オブシダンワイバーン,持ち越し150
1,771624575339200522,771624577847132171,jun,474418827250106371,c,オークチーフ,1000
1,771624600634785802,771624602434011157,ハヤテ,362435337555017728,d,オブシダンワイバーン,1000万
1,771624618124771329,771624620582502410,名無し(りえりー),257882449185472515,d,オブシダンワイバーン,持ち越し350
1,771624679278510130,771624681613557780,名無し(りえりー),257882449185472515,e,レサトパルト,1000
1,771624700115812354,771624702568824842,名無し(りえりー),257882449185472515,c,オークチーフ,1400
1,771627299752640523,771627302807273482,おのか,658087140642783252,b,ライライ,持ち越し90s1100ぶつり
1,771628766941806602,771628770482192394,ハヤテ,362435337555017728,a,ゴブリングレート,1200
1,771633085463789569,771633088232947723,Canon,385069644052168715,a,ゴブリングレート,1200
1,771638096768925736,771638099963805736,みお,283219480601952258,d,オブシダンワイバーン,1000物理
1,771649210021314570,771649212772253697,Canon,385069644052168715,a,ゴブリングレート,680 持ち越し
1,771659505175756810,771659507717111818,ぴかち,500590872048697344,d,オブシダンワイバーン,持ち越し270
1,771660138666393611,771660141892337684,名無し(りえりー),257882449185472515,c,オークチーフ,持ち越し 400くらい 反応無かったらスルーで
1,771660843120590858,771660846023573514,シルバー,646680124837855233,b,ライライ,1000
1,771661098813751306,771661101879525406,シルバー,646680124837855233,c,オークチーフ,1300-1500
1,771661165926547457,771661168531079198,シルバー,646680124837855233,d,オブシダンワイバーン,1000
1,771661508463165452,771661511504166932,いもちゃ,189264376388255744,d,オブシダンワイバーン,680 魔法
1,771661701267324938,771661703783776287,いもちゃ,189264376388255744,e,レサトパルト,800 持ち越し消化後
1,771661751254515712,771661753456394240,いもちゃ,189264376388255744,a,ゴブリングレート,持ち越し40s ゴブorライ
1,771661859707027467,771661862072877107,いもちゃ,189264376388255744,b,ライライ,持ち越し40s ゴブorライ
1,771662860106334261,771662863151923241,ぴかち,500590872048697344,c,オークチーフ,1000物理(2or3)
1,771664356722606100,771664360006877194,さいとう,340675991301128192,e,レサトパルト,1000ニャル63周目以降
1,771664572138520587,771664574456922114,みお,283219480601952258,d,オブシダンワイバーン,持越し400万
1,771668158514724874,771668161493860392,さいとう,340675991301128192,a,ゴブリングレート,1000物理(3にシフト可
1,771674499501522954,771674502668484646,さいとう,340675991301128192,b,ライライ,1000物理
1,771674649330843669,771674651806007306,おあり,324961936292708354,b,ライライ,1000 物理
1,771674753194786817,771674755761700864,おあり,324961936292708354,d,オブシダンワイバーン,1000 物理
1,771677499490172941,771677502140710924,アキラ,486045349211799552,b,ライライ,900
1,771677525868937236,771677527756111883,アキラ,486045349211799552,c,オークチーフ,1000
1,771677547082547251,771677549897187358,アキラ,486045349211799552,d,オブシダンワイバーン,1000
1,771680546593964042,771680548602249217,いもちゃ,189264376388255744,e,レサトパルト,800弱 物理
1,771681216541884427,771681220052254760,さいとう,340675991301128192,a,ゴブリングレート,1100物理(3or4向けに組み換え可能
1,771681402864271391,771681405515071520,おあり,324961936292708354,e,レサトパルト,1000ニャル
1,771682396146892822,771682398786027521,sakadaka,538639387471249409,c,オークチーフ,1200 物理(or 5 900 ニャル)
1,771682440334409769,771682443467161630,sakadaka,538639387471249409,d,オブシダンワイバーン,1000
1,771682973518659584,771682975921602590,エーイチ,580724415210323968,a,ゴブリングレート,物理1200
1,771683170516729877,771683173926305792,エーイチ,580724415210323968,d,オブシダンワイバーン,物理1200
1,771683236878483467,771683239873871873,厚着下着まざらし,341239349997993984,c,オークチーフ,800持ち越し
1,771683279044345856,771683281170726982,厚着下着まざらし,341239349997993984,e,レサトパルト,1500ニャル
1,771683364993237003,771683368408449024,厚着下着まざらし,341239349997993984,d,オブシダンワイバーン,750魔法
1,771683447428874280,771683449756188672,厚着下着まざらし,341239349997993984,d,オブシダンワイバーン,物理もいけるかも
1,771683531944362004,771683534657421342,厚着下着まざらし,341239349997993984,a,ゴブリングレート,いなければ入れます
1,771688242676367360,771688245419049011,おあり,324961936292708354,b,ライライ,ライライ 1000 物理
1,771692284953362453,771692288090963968,抹茶ですよ,551525921660731396,a,ゴブリングレート,1400
1,771695635442171925,771695639260037131,さいとう,340675991301128192,b,ライライ,持ち越し350(1→300、3→250
1,771696414014570496,771696416816234507,ぴかち,500590872048697344,b,ライライ,物理1000(2or3)
1,771697961318613022,771697963339874304,シルバー,646680124837855233,b,ライライ,持ち越し700
1,771704274014437386,771704276585545748,いもちゃ,189264376388255744,d,オブシダンワイバーン,もちこし
1,771707013738135555,771707015977500682,みみな(プリンセス),603834473041362944,d,オブシダンワイバーン,フル持ち越し
1,771708090159857664,771708093385408522,さいとう,340675991301128192,a,ゴブリングレート,1100物理
1,771708832367771668,771708835119366145,さいとう,340675991301128192,c,オークチーフ,1200物理
1,771708981075902494,771708983710187564,さいとう,340675991301128192,d,オブシダンワイバーン,物理1000
1,771709062743064576,771709065491382302,さいとう,340675991301128192,e,レサトパルト,物理800セミオ事故率それなりにあり
1,771709730766848021,771709733622906880,ユッシー,614440140173213707,b,ライライ,800
1,771709856377077790,771709858294530050,おのか,658087140642783252,c,オークチーフ,持ち越し 550万
1,771710079065129000,771710081942290483,ユッシー,614440140173213707,c,オークチーフ,1100
1,771710650538917898,771710653324984321,みみな(プリンセス),603834473041362944,a,ゴブリングレート,物理
1,771710788057432064,771710788057432064,おあり,324961936292708354,e,レサトパルト,持越し 550ぐらい
1,771712995965272075,771712998355107880,おのか,658087140642783252,c,オークチーフ,持ち越し 500くらい
1,771714782390124574,771714784956514314,sakadaka,538639387471249409,d,オブシダンワイバーン,持ち越し 600くらい
1,771715274772578374,771715277439107102,厚着下着まざらし,341239349997993984,e,レサトパルト,1500ニャル持ち越し
1,771716443737161738,771716451672260608,エーイチ,580724415210323968,e,レサトパルト,ニャル1000
1,771716493297319947,771716495704850452,みみな(プリンセス),603834473041362944,a,ゴブリングレート,持ち越し
1,771722225288085514,771722229695250462,smicle(スマイル),420084355105423367,a,ゴブリングレート,いい感じのダメージ
1,771730337985200168,771730342075170826,smicle(スマイル),420084355105423367,c,オークチーフ,1200